species,specimen,id,region,catalog,SL,image_area,x,y,direction,diameter,angle,type,diameter_SL
Cslo,Cslo1,Cslo1_R2,R2,MCZ128574,114.72,36.71668,0.512,3.786,ventral,0.186,-47.203,minute,0.001621339
Cslo,Cslo4,Cslo4_R2,R2,MCZ128954,135.9,33.68643,6.84,1.944,ventral,0.186,-112.38,minute,0.001368653
Ebar,Ebar1,Ebar1_R3,R3,MCZ148300,136.59,35.863574,0.43,0.904,ventral,0.186,-39.177,minute,0.00136174
Mbar,Mbar3,Mbar3_R3,R3,MCZ132343,225.67,36.435,1.136,2.451,ventral,0.186,-99.481,minute,0.000824212
Pgue,Pgue3,Pgue3_R3,R3,MCZ131481,102.3,34.134724,0.455,2.128,ventral,0.186,-86.82,serial,0.001818182
Sboa,Sboa3,Sboa3_R1,R1,MCZ129188,114.18,36.713055,2.072,1.307,ventral,0.186,-113.816,minute,0.001629007
Sboa,Sboa3,Sboa3_R1,R1,MCZ129188,114.18,36.713055,2.358,3.663,ventral,0.186,-131.16,minute,0.001629007
Sboa,Sboa4,Sboa4_R2,R2,MCZ129188,146.84,35.890031,2.099,5.134,ventral,0.186,-104.195,minute,0.001266685
Ifas,Ifas3,Ifas3_R3,R3,MCZ149616,252.33,25.697,6.2,3.994,ventral,0.185,-100.725,serial,0.000733167
Bmet,Bmet4,Bmet4_R2,R2,MCZ101656,98.55,27.227524,2.562,3.443,ventral,0.185,-119.893,minute,0.00187722
Ebar,Ebar2,Ebar2_R3,R3,MCZ148300,126.32,35.724308,5.581,1.927,ventral,0.185,-70.228,minute,0.001464535
Mbar,Mbar2,Mbar2_R3,R3,MCZ163113,218.65,36.56124,4.744,4.683,dorsal,0.185,11.315,minute,0.000846101
Mbar,Mbar1,Mbar1_R3,R3,MCZ132342,247.86,35.00487,6.341,1.755,ventral,0.185,-85.926,minute,0.000746389
Anig,Anig2,Anig2_R2,R2,MCZ52845,56.11,16.327406,5.292,4.811,ventral,0.184,-101.004,minute,0.003279273
Mbar,Mbar2,Mbar2_R2,R2,MCZ163113,218.65,34.369917,2.34,1.042,,0.184,NA,minute,0.000841528
Sboa,Sboa2,Sboa2_R2,R2,MCZ129188,164.68,31.444524,0.566,1.455,ventral,0.184,-117.741,minute,0.001117318
Anig,Anig1,Anig1_R2,R2,MCZ52845,47.9,24.555973,3.732,4.453,ventral,0.183,-85.236,minute,0.003820459
Mbar,Mbar2,Mbar2_R2,R2,MCZ163113,218.65,34.369917,1.832,4.892,,0.183,NA,minute,0.000836954
Sboa,Sboa1,Sboa1_R2,R2,MCZ129188,161.74,31.986293,3.219,3.869,ventral,0.183,-97.907,minute,0.001131446
Sboa,Sboa3,Sboa3_R1,R1,MCZ129188,114.18,36.713055,4.78,3.768,ventral,0.183,-133.031,minute,0.001602733
Anig,Anig2,Anig2_R2,R2,MCZ52845,56.11,16.327406,5.809,2.558,ventral,0.182,-91.591,minute,0.003243629
Anig,Anig2,Anig2_R2,R2,MCZ52845,56.11,16.327406,5.827,4.678,ventral,0.182,-104.421,minute,0.003243629
Ebar,Ebar1,Ebar1_R3,R3,MCZ148300,136.59,35.863574,3.332,1.136,ventral,0.182,-62.633,minute,0.001332455
Ebar,Ebar2,Ebar2_R3,R3,MCZ148300,126.32,35.724308,2.448,4.878,ventral,0.182,-78.043,minute,0.001440785
Ncap,Ncap2,Ncap2_R2,R2,MCZ132798,118.27,36.737701,0.66,1.659,ventral,0.182,-99.112,minute,0.001538852
Sboa,Sboa1,Sboa1_R2,R2,MCZ129188,161.74,31.986293,4.283,1.462,ventral,0.182,-91.591,minute,0.001125263
Sboa,Sboa4,Sboa4_R2,R2,MCZ129188,146.84,35.890031,1.011,0.623,ventral,0.182,-109.288,minute,0.001239444
Anig,Anig2,Anig2_R2,R2,MCZ52845,56.11,16.327406,6.729,4.234,ventral,0.181,-97.907,minute,0.003225806
Mbar,Mbar1,Mbar1_R2,R2,MCZ132342,247.86,31.273812,0.118,1.901,,0.181,NA,minute,0.000730251
Mbar,Mbar3,Mbar3_R3,R3,MCZ132343,225.67,36.435,1.362,1.402,ventral,0.181,-101.373,minute,0.000802056
Anig,Anig2,Anig2_R2,R2,MCZ52845,56.11,16.327406,5.881,2.14,ventral,0.18,-90,minute,0.003207984
Ebar,Ebar1,Ebar1_R3,R3,MCZ148300,136.59,35.863574,3.214,0.75,ventral,0.18,-72.058,minute,0.001317812
Pgue,Pgue2,Pgue2_R3,R3,MCZ131481,95.75,28.476474,2.293,2.539,ventral,0.18,-77.125,serial,0.001879896
